reporter,date,document_id,title,year,abstract,authors,document_type,pubtitle,document_url
haley,1927-01-15,530696449,"GRAND JURY'S REPORT HITS AT CHELTENHAM: NO SCHOOL FOR BOYS AT STATE REFORMATORY SAYS ROBT. CLARK COLORED PERSONNEL IS STRIKING NEED MELVALE, SCHOOL FOR GIRLS BY CONTRAST REPORTED ON FAVORABLY",1927,Report on Cheltenham by the Grand Jury stated that the buildings at the institution were badly in need of repair and while there was...,"Clark, Robert",article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/grand-jurys-report-hits-at-cheltenham/docview/530696449/sem-2?accountid=14696
haley,1927-01-21,530686991,GOV. RITCHIE GETS INTERRACIAL REPORT: AID FOR MORGAN-REPEAL OF JIR CROW LAWS-EQUALIZATION-OF COUNTY TEACHERS SALARIES ASKED OF GOV. AND LEGISLATURE. FIRST STATE INTERRACIAL BODY APPOINTED BY GOVERNOR AND AUTHORIZED BY THE LEG. ISLATURE MAKE REPORT AFTER 2 YEARS STUDY.-STATE ASKED TO NAME ASST. SUPERVI SOR OF COUNTY SCHOOLS AND TO MAKE APPROPRIATIONI F O R PERMANENT WELFARE COMMISSION.-CHELTENHAM'S CONVICT SYSTEM WOULD-BE ABOLISHED.,1927,Authorizing and directing the Governor of Maryland to appoint a commission of twenty-one persons to consider legislation concerning the welfare of colored people residing in the State of...,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/gov-ritchie-gets-interracial-report/docview/530686991/sem-2?accountid=14696
haley,1927-04-30,530659068,"PEONAGE AND CHAIN GANG AT CHELTENHAM SCHOOL: PEONAGE AND CHAIN GANG AT CHELTENHAM REFORM SCHOOL BOYS DIRTY, RAGGED AND HIRED OUT TO SLAVE BATHS ONCE WEEK PASTORS ARE TOLD THREE MINISTERS CONFERENCES NAME CONILLITTECS TO SCE MAVOR AND GOVERNOR",1927,"Virtual slavery, peonage and a chain gang exist at the House of Reformation for Colored Boys at Cheltenham, Prince Georges...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/peonage-chain-gang-at-cheltenham-school/docview/530659068/sem-2?accountid=14696
haley,1927-05-07,530694774,Comic 2 -- No Title,1927,None available.,NA,comic,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/comic-2-no-title/docview/530694774/sem-2?accountid=14696
haley,1927-05-07,530710289,Cheltenham Again,1927,"The semi-annual expose of horrible conditions at the Maryland House of Reformation at Cheltenham came last week from Dr. Ernest Lyons, speaking before the ministerial groups of the city.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/cheltenham-again/docview/530710289/sem-2?accountid=14696
haley,1927-05-28,530659154,SIX MONTH OLD CHILD FOUND DEAD ON ROAD,1927,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/six-month-old-child-found-dead-on-road/docview/530659154/sem-2?accountid=14696
haley,1927-06-11,530682969,BOYS WANTED TO SE FIRE ENGINE RUN: YOUTHS ADMIT FIRING STABL AND TURNING IN ALARM JUST TO SEE MACHINES BELONGED TO GANG OF YOUNG DESPERADOS POLICE CLAIM QUINTET HA LONG CRIMINAL RECORD IR JUVENILE COURT,1927,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/boys-wanted-se-fire-engine-run/docview/530682969/sem-2?accountid=14696
haley,1927-06-11,530688694,"M. E. PREACHERS FIND CONTRACT LABOR BAD AT CHELTENHAM: MINISTERS ALSO SURPRISED TO FIND ""TOTS"" UNDER EIGHT YEARS PHYSICAL CONDITION' DESCRIBED AS GOOD LACK OF EDUCATIONAL FACILITIES WILL BE POINTED OUT IN REPORT",1927,"Good physical condition, but bad conrtact labor system, presence of little 'tots' under eight and practically nothing being done to train the inmates for useful lives, was the reaction of several ministers in a group which...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/m-e-preachers-find-contract-labor-bad-at/docview/530688694/sem-2?accountid=14696
haley,1927-06-18,530646225,Say 2 Boys Escaped From Cheltenham,1927,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/say-2-boys-escaped-cheltenham/docview/530646225/sem-2?accountid=14696
haley,1927-06-18,530654620,"NOT UNANIMOUS FOR BISHOP JOHNSON: REV. W. H. COSTIN TELLS A. M. E. MEETING HE VOTED ""NO"" CHELTENHAM COM. MAKES ITS REPORT STATE TO BE ASKED TO TAKE OVER CARE OF DELINQUENT BOYS",1927,The Baltimore Annual Conference A. M. E. Church did not vote unanimously for the return of Bishop J. Albert Johnson to this Episcopal District.,NA,article,Afro-American (1893-),https://www.proquest.com/newspapers/not-unanimous-bishop-johnson/docview/530654620/se-2?accountid=14696
haley,1927-07-30,530639752,STILL WHIP AND FARM OUT AT CHELTENHAM: RELEASED YOUTH DECLARES CONDITIONS STILL BAD AT REFORM SCHOOL HAD TO EAT SOUR BREAD HE TELLS HOPES CITIZENS WILL CONTINUE FIGHT FOR BETTER ADMINISTRATION THERE,1927,"That inmates are still being whipped by teachers and boys are still being farmed out for work outside the institution was learned this week, when Albert Lilly, recently discharged youth told an AF-...",NA,front_page,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/still-whip-farm-out-at-cheltenham/docview/530639752/sem-2?accountid=14696
haley,1927-08-13,530649252,"AMERICAN LEGION IN ANNUAL CONVENTION: MARYLAND DEPARTMENT HOLDS NINTB ANNUAL MEET AT EASTON, MD. WALTER GREEN POST HITS SCHOOL SYSTEM RESOLUTIONS TAKE SLAP AT COUNTY EDUCATION AND CHELTENHAM",1927,"The Maryland Department of the American Legion now in its ninth annual convention at Easton, Md., is expected to act on two resolutions submitted by the Walter Green Post number 14 this week.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/american-legion-annual-convention/docview/530649252/sem-2?accountid=14696
haley,1927-08-27,530651748,BLACKED HIS FACE TO PLAY BASEBALL: JOHNNY REA WON COLORED LEAGUE GAME FOR BACHARACH WITH HOME RUN IN NINTH RUSE FOUND OUT TOO LATE,1927,One of the most humorous and unusual occurences in the history of semi-pro baseball has just been brought to light by Charlie Ziehler. whose Wentz-Olney team tackles the Nashville Giants at Front and Chew street tonight.,"Hill, Raymond",article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/blacked-his-face-play-baseball/docview/530651748/sem-2?accountid=14696
